ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9541140,HX194428,03/20/2014 12:10:00 AM,058XX S MASSASOIT AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0811,,23,56,06,,,2014,03/23/2014 12:39:11 AM,,,
9539354,HX192384,03/20/2014 12:05:00 AM,051XX S MASON AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0811,,23,56,06,,,2014,03/21/2014 12:39:35 AM,,,
9537930,HX191548,03/20/2014 12:05:00 AM,060XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,false,true,0712,,16,68,14,,,2014,03/21/2014 12:39:35 AM,,,
21310,HX191550,03/20/2014 12:04:00 AM,009XX N 917,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,1121,011,27,23,01A,1152250,1905979,2014,03/23/2014 05:53:19 AM,41.89787296687991,-87.71624780495675,"(41.89787296687991, -87.71624780495675)"
9540949,HX194226,03/20/2014 12:01:00 AM,079XX S COTTAGE GROVE AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,false,false,0624,,6,44,11,,,2014,03/23/2014 12:39:11 AM,,,
9539243,HX192286,03/20/2014 12:01:00 AM,008XX W AGATITE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1914,,46,3,08B,,,2014,03/21/2014 12:39:35 AM,,,
9542224,HX195802,03/20/2014 12:01:00 AM,067XX S LOWE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0723,,6,68,06,,,2014,03/24/2014 12:41:18 AM,,,
9542537,HX196236,03/20/2014 12:01:00 AM,001XX W 35TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0915,,11,34,03,,,2014,03/24/2014 12:41:18 AM,,,
9539095,HX192414,03/20/2014 12:01:00 AM,068XX S LANGLEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,0321,,6,42,14,,,2014,03/21/2014 12:39:35 AM,,,
9540563,HX193602,03/20/2014 12:01:00 AM,038XX W GLADYS AVE,0820,THEFT,$500 AND UNDER,VEHICLE-COMMERCIAL,false,false,1133,,24,26,06,,,2014,03/22/2014 12:39:11 AM,,,
9544464,HX197637,03/20/2014 12:00:00 AM,037XX S ELLIS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,0212,,4,36,11,,,2014,03/26/2014 12:40:14 AM,,,
9537959,HX191588,03/20/2014 12:00:00 AM,103XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,2232,,34,49,08B,,,2014,03/21/2014 12:39:35 AM,,,
9545494,HX198229,03/20/2014 12:00:00 AM,014XX N WASHTENAW AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1423,,26,24,06,,,2014,03/26/2014 12:40:14 AM,,,
9538893,HX191906,03/20/2014 12:00:00 AM,051XX S MAYFIELD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0811,,23,56,06,,,2014,03/21/2014 12:39:35 AM,,,
9543052,HX196484,03/20/2014 12:00:00 AM,015XX W 82ND ST,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,RESIDENCE,false,false,0614,,21,71,11,,,2014,03/25/2014 12:39:08 AM,,,
9540554,HX193607,03/20/2014 12:00:00 AM,079XX S COLFAX AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0422,,7,46,08B,,,2014,03/22/2014 12:39:11 AM,,,
9538959,HX192188,03/20/2014 12:00:00 AM,017XX W 79TH ST,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0611,,21,71,06,,,2014,03/21/2014 12:39:35 AM,,,
9537938,HX191553,03/19/2014 11:58:00 PM,053XX W IRVING PARK RD,2022,NARCOTICS,POSS: COCAINE,STREET,false,false,1624,,38,15,18,,,2014,03/21/2014 12:39:35 AM,,,
9538318,HX191810,03/19/2014 11:57:00 PM,080XX S MAY ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,false,false,0612,,21,71,26,,,2014,03/21/2014 12:39:35 AM,,,
9537927,HX191547,03/19/2014 11:53:00 PM,062XX S WALLACE ST,0453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,VEHICLE-COMMERCIAL,true,false,0711,,16,68,04B,,,2014,03/21/2014 12:39:35 AM,,,
9538332,HX191788,03/19/2014 11:50:00 PM,016XX N HERMITAGE AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,SIDEWALK,false,false,1433,,32,24,14,,,2014,03/21/2014 12:39:35 AM,,,
9537901,HX191539,03/19/2014 11:37:00 PM,049XX W SUPERIOR ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,false,false,1531,,37,25,18,,,2014,03/21/2014 12:39:35 AM,,,
9537878,HX191523,03/19/2014 11:35:00 PM,057XX S MARSHFIELD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,false,false,0715,,15,67,18,,,2014,03/21/2014 12:39:35 AM,,,
9538033,HX191654,03/19/2014 11:30:00 PM,068XX S DORCHESTER AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0321,,5,43,07,,,2014,03/21/2014 12:39:35 AM,,,
9537973,HX191526,03/19/2014 11:25:00 PM,020XX W HOWARD ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2424,,49,1,08B,,,2014,03/21/2014 12:39:35 AM,,,
9537900,HX191549,03/19/2014 11:15:00 PM,018XX S ASHLAND AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,false,false,1233,,25,31,18,,,2014,03/21/2014 12:39:35 AM,,,
9538474,HX191787,03/19/2014 11:15:00 PM,036XX W 80TH ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0834,,18,70,08A,,,2014,03/21/2014 12:39:35 AM,,,
9537951,HX191529,03/19/2014 11:14:00 PM,074XX W TALCOTT AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,HOSPITAL BUILDING/GROUNDS,false,false,1612,,41,10,26,,,2014,03/21/2014 12:39:35 AM,,,
9538908,HX192093,03/19/2014 11:00:00 PM,030XX W PRATT BLVD,0820,THEFT,$500 AND UNDER,STREET,false,false,2411,,50,2,06,,,2014,03/21/2014 12:39:35 AM,,,
9538091,HX191629,03/19/2014 11:00:00 PM,051XX W GRAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,false,false,2522,,37,19,14,,,2014,03/21/2014 12:39:35 AM,,,
9538608,HX191931,03/19/2014 11:00:00 PM,068XX N WHIPPLE ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,2411,,50,2,06,,,2014,03/21/2014 12:39:35 AM,,,
9539100,HX192422,03/19/2014 11:00:00 PM,035XX S RHODES AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0212,,4,35,07,,,2014,03/21/2014 12:39:35 AM,,,
9538042,HX191633,03/19/2014 11:00:00 PM,088XX S DORCHESTER AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,false,0412,,8,48,08B,,,2014,03/21/2014 12:39:35 AM,,,
9539084,HX192103,03/19/2014 11:00:00 PM,019XX S CENTRAL PARK AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1024,,24,29,06,,,2014,03/21/2014 12:39:35 AM,,,
9538273,HX191658,03/19/2014 11:00:00 PM,054XX S DAMEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0932,,16,61,07,,,2014,03/21/2014 12:39:35 AM,,,
9537866,HX191514,03/19/2014 11:00:00 PM,115XX S MICHIGAN AVE,3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,STREET,true,false,0532,,9,53,24,,,2014,03/21/2014 12:39:35 AM,,,
9538104,HX191679,03/19/2014 11:00:00 PM,017XX W 21ST ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1234,,25,31,06,,,2014,03/21/2014 12:39:35 AM,,,
9538547,HX191924,03/19/2014 11:00:00 PM,068XX N WHIPPLE ST,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,2411,,50,2,06,,,2014,03/21/2014 12:39:35 AM,,,
9539515,HX191616,03/19/2014 11:00:00 PM,081XX S DORCHESTER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,false,false,0411,,8,45,26,,,2014,03/22/2014 12:39:11 AM,,,
9537994,HX191583,03/19/2014 11:00:00 PM,028XX W GRAND AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,SIDEWALK,false,false,1221,,26,23,04B,,,2014,03/21/2014 12:39:35 AM,,,
9537902,HX191522,03/19/2014 10:57:00 PM,105XX S LAFAYETTE AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0512,,34,49,03,,,2014,03/21/2014 12:39:35 AM,,,
9537912,HX191498,03/19/2014 10:57:00 PM,015XX W GARFIELD BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,false,true,0713,,16,67,08B,,,2014,03/21/2014 12:39:35 AM,,,
